individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
314,773,405,0,139,4,96,1330,9,58,15,0,Northeast
762,1313,175,0,344,0,101,1753,22,28,0,0,Northeast
1124,4690,300,0,235,0,660,5032,108,16,10,0,Northeast
1457,2150,560,19,522,0,1158,2518,63,91,41,45,Northeast
784,2089,85,28,186,0,712,1919,127,22,26,0,Northeast
1068,5248,347,0,340,14,1510,5097,91,32,60,0,Northeast
1488,1809,552,0,739,0,486,2685,99,183,163,51,Northeast
858,1467,437,39,349,0,532,1864,51,114,45,29,Northeast
1159,2020,748,0,844,0,222,3541,18,174,98,0,Northeast
547,802,379,15,195,0,199,1279,17,41,14,17,Northeast
501,1480,43,0,609,0,116,2095,10,39,54,8,Northeast
1199,2055,553,34,108,0,473,2474,0,283,15,0,Northeast
783,1825,426,0,569,0,193,2652,40,57,67,28,Northeast
416,3284,48,0,398,0,451,3538,15,0,0,0,Northeast
428,2509,185,13,277,0,327,2799,26,9,10,0,Northeast
716,3216,180,0,359,0,599,3291,37,28,0,0,Northeast
1465,3534,144,0,515,0,644,3996,42,0,60,12,Northeast
2762,2989,1302,0,1069,0,1585,4486,205,93,77,141,Northeast
3205,3784,1577,16,1598,0,747,6574,15,249,410,44,Northeast
966,3652,298,0,622,0,472,4364,0,13,17,0,Northeast
2563,1942,1420,11,750,0,640,3834,64,110,227,176,Northeast
2646,2171,1761,67,169,0,1008,3620,84,129,79,122,Northeast
2705,4503,1497,168,174,0,528,6115,32,74,19,21,Northeast
193,1525,54,0,165,0,237,1649,0,0,7,0,Northeast
561,1996,205,14,126,0,295,2263,22,7,0,0,Northeast
2060,5595,315,0,503,0,1202,5760,130,258,102,70,Northeast
757,3297,204,0,170,0,1034,2929,40,0,0,45,Northeast
1091,4802,284,1,530,0,1680,5134,68,27,69,11,Northeast
2941,4633,325,108,1294,0,1846,5598,152,293,55,59,Northeast
443,1767,22,0,975,0,322,2531,0,28,76,0,Northeast
307,2715,114,26,152,0,763,2475,35,0,9,0,Northeast
691,4177,141,0,258,0,573,4566,16,0,0,0,Northeast
199,2342,115,0,46,0,331,2276,0,0,0,0,Northeast
727,2824,70,0,154,0,269,3148,30,37,0,0,Northeast
187,1322,25,0,60,0,237,1351,17,5,0,0,Northeast
245,1687,35,0,101,0,115,1789,12,39,0,8,Northeast
238,2284,97,44,171,0,173,2554,24,13,0,0,Northeast
834,4425,95,0,224,29,386,4706,52,0,13,0,Northeast
408,2024,0,0,291,0,418,2065,25,0,0,0,Northeast
582,5351,18,0,195,0,347,5531,0,39,0,0,Northeast
234,2054,8,0,52,0,117,2043,0,0,0,0,Northeast
161,1629,9,5,52,0,65,1677,6,0,0,0,Northeast
217,1195,41,0,38,0,207,1195,11,8,0,0,Northeast
236,1100,30,0,90,0,324,1090,0,11,0,0,Northeast
110,1584,49,0,108,0,500,1329,18,0,0,0,Northeast
220,1458,23,0,96,0,262,1470,37,0,0,0,Northeast
93,1291,49,0,62,0,102,1383,0,0,0,0,Northeast
177,2634,72,0,91,0,226,2667,0,0,0,0,Northeast
294,1617,137,0,125,11,288,1785,28,5,0,0,Northeast
256,2442,152,0,196,0,252,2687,28,39,10,0,Northeast
402,1905,42,0,170,10,384,1864,68,0,0,0,Northeast
155,2521,49,12,242,0,332,2604,8,0,0,0,Northeast
433,3503,25,0,136,0,432,3431,10,0,0,0,Northeast
383,952,34,0,154,0,154,1043,34,22,95,0,Northeast
532,3846,192,0,509,0,459,4578,17,0,48,0,Northeast
1093,5998,625,0,412,0,1070,6222,31,83,0,0,Northeast
513,2007,33,0,120,0,267,1935,9,0,0,0,Northeast
149,1260,46,0,55,0,66,1302,0,0,0,6,Northeast
